Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1503606,-55.990049,-4.263729,PA,156.5,156.5,313,17336.5351185,17336.5351185,34673.070237,3,0.517102,0.534261,9346.829502,1,1991,Itaituba
1503705,-49.324426,-5.128837,PA,59.0,59.0,118,4984.208771,4984.208771,9968.417542,3,0.493732,0.504529,1136.566349,1,1991,Itupiranga
1503804,-49.112782,-4.448405,PA,85.5,85.5,171,8274.8451285,8274.8451285,16549.690257,3,0.495257,0.509503,1852.081793,1,1991,Jacundá
1503903,-56.094998,-2.155253,PA,8.0,8.0,16,1238.2085915,1238.2085915,2476.417183,3,0.377121,0.392576,14.676459,1,1991,Juruti
1504000,-49.381534,-1.891949,PA,9.5,9.5,19,700.1314505,700.1314505,1400.262901,4,0.357969,0.369172,14.390397,1,1991,Limoeiro do Ajuru
1504059,-47.55229,-2.047707,PA,24.0,24.0,48,2742.909737,2742.909737,5485.819474,3,0.488097,0.495434,243.657687,1,1991,Mãe do Rio
1504109,-47.599182,-0.79585,PA,14.0,14.0,28,614.3767545,614.3767545,1228.753509,3,0.385971,0.403601,74.210047,1,1991,Magalhães Barata
1504208,-49.142025,-5.352606,PA,234.5,234.5,469,23241.3650325,23241.3650325,46482.730065,3,0.527057,0.551782,21710.31981,1,1991,Marabá
1504307,-47.455268,-0.762419,PA,23.0,23.0,46,2354.7049105,2354.7049105,4709.409821,3,0.442452,0.460059,224.405409,1,1991,Maracanã
1504406,-47.702549,-0.712151,PA,15.0,15.0,30,1513.090889,1513.090889,3026.181778,3,0.41371,0.432702,86.735177,1,1991,Marapanim
1504455,-52.888345,-3.445417,PA,42.5,42.5,85,2365.7491275,2365.7491275,4731.498255,3,0.497397,0.504566,879.904594,1,1991,Medicilândia
1504505,-50.717465,-1.803447,PA,6.0,6.0,12,346.6134625,346.6134625,693.226925,3,0.467757,0.477914,78.692605,1,1991,Melgaço
1504604,-49.509023,-2.582873,PA,14.0,14.0,28,1624.8030685,1624.8030685,3249.606137,3,0.479701,0.487973,57.525101,1,1991,Mocajuba
1504703,-48.767199,-1.885889,PA,32.5,32.5,65,2894.2541385,2894.2541385,5788.508277,3,0.410871,0.432517,374.160638,1,1991,Moju
1504802,-54.073375,-2.003328,PA,32.0,32.0,64,3180.6328845,3180.6328845,6361.265769,3,0.485668,0.494915,380.487455,1,1991,Monte Alegre
1504901,-49.216832,-1.530026,PA,7.0,7.0,14,785.937677,785.937677,1571.875354,4,0.358598,0.369618,21.606106,1,1991,Muaná
1505007,-47.393202,-1.204144,PA,19.0,19.0,38,1064.706799,1064.706799,2129.413598,3,0.471936,0.482999,113.953305,1,1991,Nova Timboteua
1505106,-55.516324,-1.909235,PA,19.5,19.5,39,2989.6092915,2989.6092915,5979.218583,3,0.435542,0.453563,366.737425,1,1991,Óbidos
1505205,-49.855106,-2.004734,PA,9.0,9.0,18,799.896258,799.896258,1599.792516,3,0.469027,0.479324,86.222973,1,1991,Oeiras do Pará
1505304,-55.8628,-1.763754,PA,42.0,42.0,84,2978.3355465,2978.3355465,5956.671093,3,0.492757,0.501336,1727.847217,1,1991,Oriximiná
1505403,-47.117619,-1.548947,PA,34.0,34.0,68,3532.128167,3532.128167,7064.256334,3,0.485143,0.49484,494.130821,1,1991,Ourém
1505437,-51.090833,-6.740617,PA,86.0,86.0,172,6199.2224975,6199.2224975,12398.444995,3,0.498004,0.511433,2017.501955,1,1991,Ourilândia do Norte
1505486,-50.634841,-3.830306,PA,51.5,51.5,103,3927.595536,3927.595536,7855.191072,3,0.446056,0.467335,720.176537,1,1991,Pacajá
1505502,-47.356962,-2.994191,PA,138.0,138.0,276,11825.2636115,11825.2636115,23650.527223,3,0.507459,0.52539,8122.907597,1,1991,Paragominas
1505536,-49.900781,-6.07273,PA,143.5,143.5,287,12489.7496365,12489.7496365,24979.499273,3,0.511856,0.529027,6925.936582,1,1991,Parauapebas
1505601,-47.317927,-1.189569,PA,16.0,16.0,32,667.9021375,667.9021375,1335.804275,3,0.478933,0.487713,155.109289,1,1991,Peixe-Boi
1505700,-48.871786,-1.3966,PA,5.0,5.0,10,554.7867615,554.7867615,1109.573523,4,0.353878,0.363122,3.769271,1,1991,Ponta de Pedras
1505809,-50.82249,-1.936451,PA,15.5,15.5,31,1048.77597,1048.77597,2097.55194,3,0.477203,0.486377,292.287782,1,1991,Portel
1505908,-52.242477,-1.74609,PA,12.5,12.5,25,715.505893,715.505893,1431.011786,3,0.444775,0.460468,132.142446,1,1991,Porto de Moz
